participante_id,timestamp_inicio,timestamp_respuesta,timestamp_fin,edad,genero,estudios,audicion,castellano,audio_index,audio_filename,mensaje,ruido,nivel,molestia,ref_52,ref_56,ref_60,ref_64,ref_68,fuentes,afectiva_agradable,afectiva_caotico,afectiva_estimulante,afectiva_sinactividad,afectiva_calmado,afectiva_molesto,afectiva_conactividad,afectiva_monotono
5,2026-06-18T05:35:43.646Z,2026-06-18T05:47:47.721Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,0,0,0,0,0,0,natural,5,1,2,4,5,1,2,3
5,2026-06-18T05:35:43.646Z,2026-06-18T05:48:37.712Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,0,0,0,0,0,0,natural,5,1,3,4,5,1,2,2
5,2026-06-18T05:35:43.646Z,2026-06-18T05:49:40.966Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,1,0,0,0,0,0,trafico,4,1,2,4,5,2,2,4
5,2026-06-18T05:35:43.646Z,2026-06-18T05:50:25.834Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,1,0,0,0,0,0,trafico,4,1,2,4,4,1,2,5
5,2026-06-18T05:35:43.646Z,2026-06-18T05:51:07.752Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,3,0,0,0,0,0,trafico,2,1,1,4,5,4,1,4
5,2026-06-18T05:35:43.646Z,2026-06-18T05:51:49.954Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,4,0,0,0,0,0,humano,2,4,5,1,1,4,5,2
5,2026-06-18T05:35:43.646Z,2026-06-18T05:52:42.322Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,5,0,0,0,0,0,humano,1,4,4,1,2,4,5,3
5,2026-06-18T05:35:43.646Z,2026-06-18T05:53:20.189Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,6,0,0,0,0,0,humano,1,5,5,1,1,5,5,1
5,2026-06-18T05:35:43.646Z,2026-06-18T05:54:00.971Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,0,0,0,0,0,0,natural,5,1,5,4,5,1,2,5
5,2026-06-18T05:35:43.646Z,2026-06-18T05:54:38.322Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,0,0,0,0,0,0,natural,5,1,5,4,5,1,2,3
5,2026-06-18T05:35:43.646Z,2026-06-18T05:55:23.791Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,0,0,0,0,0,0,natural,5,2,5,2,5,1,4,2
6,2026-06-18T06:02:59.205Z,2026-06-18T06:08:10.522Z,2026-06-18T06:19:47.205Z,18-25,Masculino,Formacion_Profesional,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,2,0,5,4,7,3,humano,3,1,4,2,5,1,2,5
6,2026-06-18T06:02:59.205Z,2026-06-18T06:09:07.143Z,2026-06-18T06:19:47.205Z,18-25,Masculino,Formacion_Profesional,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,5,0,5,4,7,3,humano,3,1,2,2,4,3,3,5
6,2026-06-18T06:02:59.205Z,2026-06-18T06:09:56.629Z,2026-06-18T06:19:47.205Z,18-25,Masculino,Formacion_Profesional,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,5,0,5,4,7,3,humano,2,2,3,1,3,4,4,5
